KEY_LENGTH,job_id,fina_key_len,attack_noticed
400,simulator,102,not to consider
400,simulator,102,true
300,simulator,48,not to consider
300,simulator,48,true
200,simulator,2,not to consider
200,simulator,2,true
100,simulator,0,not to consider
100,simulator,0,true
200,simulator,2,not to consider
200,simulator,2,true
150,simulator,0,not to consider
150,simulator,0,true
175,simulator,0,not to consider
175,simulator,0,true
199,simulator,2,not to consider
199,simulator,2,true
180,simulator,0,not to consider
180,simulator,0,true
190,simulator,0,not to consider
190,simulator,0,true
195,simulator,0,not to consider
195,simulator,0,true
197,simulator,10,not to consider
197,simulator,10,true
195,simulator,0,not to consider
195,simulator,0,true
